#朝代,姓名,生,卒
唐,虞世南,558 ,638
唐,王绩,590 ,644
唐,骆宾王,619 ,687
唐,卢照邻,632 ,695
唐,李峤,645 ,714
唐,王勃,650 ,676
唐,杨炯,650 ,692
唐,宋之问,656 ,712
唐,沈佺期,656 ,715
唐,贺知章,659 ,744
唐,张若虚,660 ,720
唐,陈子昂,661 ,702
唐,张说,667 ,730
唐,张旭,675 ,750
唐,张九龄,678 ,740
唐,李林甫,683 ,753
唐,王翰,687 ,726
唐,王之涣,688 ,742
唐,孟浩然,689 ,740
唐,李颀,690 ,751
唐,王湾,693 ,751
唐,包融,695 ,764
唐,王昌龄,698 ,756
唐,王维,701 ,761
唐,李白,701 ,762
唐,高适,704 ,765
唐,杜甫,712 ,770
唐,岑参,715 ,770
唐,张志和,732 ,774
唐,韦应物,737 ,792
唐,卢纶,739 ,799
唐,孟郊,751 ,814
唐,王建,765 ,830
唐,韩愈,768 ,824
唐,刘禹锡,772 ,842
唐,白居易,772 ,846
唐,李绅,772 ,846
唐,柳宗元,773 ,819
唐,元稹,779 ,831
唐,贾岛,779 ,843
唐,胡令能,785 ,826
唐,李贺,790 ,816
唐,杜牧,803 ,852
唐,温庭筠,812 ,866
唐,李商隐,813 ,858
唐,林杰,831 ,847
唐,罗隐,833 ,909
唐,司空图,837 ,908
唐,王贞白,875 ,958
唐,李煜,937 ,978
宋,魏野,960 ,1019
宋,柳永,987 ,1053
宋,范仲淹,989 ,1052
宋,晏殊,991 ,1055
宋,欧阳修,1007 ,1072
宋,苏洵,1009 ,1066
宋,曾巩,1019 ,1083
宋,王安石,1021 ,1086
宋,王观,1035 ,1100
宋,苏轼,1037 ,1101
宋,苏辙,1039 ,1112
宋,黄庭坚,1045 ,1105
宋,李之仪,1048 ,1117
宋,秦观,1049 ,1100
宋,周邦彦,1056 ,1121
宋,李清照,1084 ,1155
宋,曾几,1084 ,1166
宋,陈与义,1090 ,1138
宋,陆游,1125 ,1210
宋,范成大,1126 ,1193
宋,杨万里,1127 ,1206
宋,尤袤,1127 ,1193
宋,朱熹,1130 ,1200
宋,辛弃疾,1140 ,1207
宋,赵师秀,1170 ,1219
宋,叶绍翁,1194 ,1269
宋,文天祥,1236 ,1283
宋,郑思肖,1241 ,1318